アフィリエイトID,アカウントID,コンテンツID,説明文,アフィリエイトURL,画像使用
AFF_019,ACCOUNT_010,CONTENT_019,次は一緒に買い物いきたいな♥,https://b-short.link/ZzDGuk,
AFF_020,ACCOUNT_010,CONTENT_020,誰か一緒にご飯作ろう？♡,https://b-short.link/ZzDGuk,
AFF_021,ACCOUNT_010,CONTENT_021,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_022,ACCOUNT_010,CONTENT_022,セ●●スはやっぱりすれてないよね♡,https://b-short.link/ZzDGuk,
AFF_023,ACCOUNT_010,CONTENT_023,"AFしたい人はこっち来てね(*ﾉωﾉ)
最近してないからきつきつかも...",https://b-short.link/ZzDGuk,
AFF_024,ACCOUNT_010,CONTENT_024,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_025,ACCOUNT_010,CONTENT_025,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_001,ACCOUNT_011,CONTENT_001,ここに載せてるから好きに見ていいよ❤,https://b-short.link/ZzDGuk,
AFF_002,ACCOUNT_011,CONTENT_002,こっちにもおいで❤,https://b-short.link/ZzDGuk,
AFF_003,ACCOUNT_011,CONTENT_003,ここに載せれないエ●すぎる動画は❤,https://b-short.link/ZzDGuk,
AFF_004,ACCOUNT_011,CONTENT_004,ここで見せれないのはこっちに❤,https://b-short.link/ZzDGuk,
AFF_005,ACCOUNT_011,CONTENT_005,過激すぎて...,https://b-short.link/ZzDGuk,
AFF_006,ACCOUNT_011,CONTENT_006,過激すぎるかも...,https://b-short.link/ZzDGuk,
AFF_007,ACCOUNT_011,CONTENT_007,こんな私でもいい人は...,https://b-short.link/ZzDGuk,
AFF_008,ACCOUNT_011,CONTENT_008,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_009,ACCOUNT_011,CONTENT_009,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_010,ACCOUNT_011,CONTENT_010,私も子供ほしいなー♡,https://b-short.link/ZzDGuk,
AFF_011,ACCOUNT_011,CONTENT_011,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_012,ACCOUNT_011,CONTENT_012,私違う意味で声大きいかも(*ﾉωﾉ),https://b-short.link/ZzDGuk,
AFF_013,ACCOUNT_011,CONTENT_013,一緒にオンラインしたい人はこっちに来てね♡,https://b-short.link/ZzDGuk,
AFF_014,ACCOUNT_011,CONTENT_014,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_015,ACCOUNT_011,CONTENT_015,"運転上手い人が私は好き♡
ドライブ連れて行ってくれる人はここに♥",https://b-short.link/ZzDGuk,
AFF_016,ACCOUNT_011,CONTENT_016,答えこっちに載せてるよ♡,https://b-short.link/ZzDGuk,
AFF_017,ACCOUNT_011,CONTENT_017,答えこっちに載せてるよ♡,https://b-short.link/ZzDGuk,
AFF_018,ACCOUNT_011,CONTENT_018,"このお金で誰か買い物いこ！
ここから連絡してね♡",https://b-short.link/ZzDGuk,
AFF_019,ACCOUNT_011,CONTENT_019,次は一緒に買い物いきたいな♥,https://b-short.link/ZzDGuk,
AFF_020,ACCOUNT_011,CONTENT_020,誰か一緒にご飯作ろう？♡,https://b-short.link/ZzDGuk,
AFF_021,ACCOUNT_011,CONTENT_021,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_022,ACCOUNT_011,CONTENT_022,セ●●スはやっぱりすれてないよね♡,https://b-short.link/ZzDGuk,
AFF_023,ACCOUNT_011,CONTENT_023,"AFしたい人はこっち来てね(*ﾉωﾉ)
最近してないからきつきつかも...",https://b-short.link/ZzDGuk,
AFF_024,ACCOUNT_011,CONTENT_024,こっちも見てね♡,https://b-short.link/ZzDGuk,
AFF_025,ACCOUNT_011,CONTENT_025,こっちも見てね♡,https://b-short.link/ZzDGuk,
